,postUrl,image_text,description,likeCount,commentCount,img_text_promos,img_landscape,img_campers_caravans,outdoor_acitivies,cap_rei_challenges,cap_outdoor_running,cap_hiking_gear,cap_rei_promos
16,https://www.instagram.com/p/CPBYvzlldO9/,Flower Plant Smile Plant community Sky People in nature Leaf Botany Happy Yellow Flower Plant Smile Sky People in nature Shorts Botany Tree Natural landscape Happy,"Swipe to see how we feel about spring hiking. 🌻

Photos: #REIpartner @she_colorsnature",7857,75,0.004098361,0.987704918,0.004098361,0.004098361,0.607142857,0.011904762,0.369047619,0.011904762
17,https://www.instagram.com/p/CPDjGDpDml6/,Cartoon Organism Gesture Sharing Happy Font Wheel Event Conversation Chair,"With your help, traveling by foot, bike or wheelchair just might get easier. Urge Congress to pass the Connecting America’s Active Transportation System Act. Through #CooperativeAction, we can get it done!  Learn more at the link in bio.

Artist: @morelaaand",11530,199,0.875,0.009615385,0.105769231,0.009615385,0.673228346,0.003937008,0.003937008,0.318897638
18,https://www.instagram.com/p/CPIziERMx3j/,Shoe Gesture Font Poster Glove Bag Outdoor shoe Luggage and bags Brand Personal protective equipment,"Now thru May 31, save up to 30% on outdoor gear & clothing (link in bio). Discount based on original prices.",3910,118,0.354166667,0.006944444,0.006944444,0.631944444,0.006944444,0.006944444,0.006944444,0.979166667
19,https://www.instagram.com/p/CPRTvm8htkR/,Tire Atmosphere Sky Car Vehicle Wheel Automotive lighting Natural environment Landscape Astronomical object,"As camping and overland travel gain in popularity, it’s increasingly important that we all learn how to properly care for our natural spaces. 

To help, our friends @bound.for.nowhere put together a blog post and in-depth video about camping etiquette, Leave No Trace principles, public lands resources and more. Check it out at the link in our bio. #REIpartner",6657,30,0.007462687,0.455223881,0.007462687,0.529850746,0.671511628,0.119186047,0.002906977,0.206395349
20,https://www.instagram.com/p/CPWFxXvhUbr/,Smile Happy Yellow Plant Leisure Cornrows Fun People in nature Event Tribe Forehead Hair Smile Lip Chin Eyebrow Neck Ear Flash photography Happy Watch Smile Shoulder Sleeve People in nature Plant Tree Dress Waist Thigh,"Join us tomorrow (5/27) for two live conversations led by filmmaker Angela Tucker (@tuckergurl) as she launches her new film series, ""The Trees Remember,"" in partnership with REI Co-op Studios. The series tells the stories of Black women of different ages growing and thriving in the outdoors.

Tune in at 10am PT/1 pm ET on IG Live for her conversation with ornithologist and co-organizer of the first Black Birders Week, Corina Newsome (@hood__naturalist) and again at 1 pm PT/4pm ET for her talk with CEO and @outdoorafro founder, Rue Mapp (@ruemapp).",2855,25,0.991017964,0.002994012,0.002994012,0.002994012,0.24617737,0.674311927,0.001529052,0.077981651
21,https://www.instagram.com/p/CPYXGLmhksS/,Smile Eye Happy Gesture Adaptation Jewellery Event Moustache Turban Tribe Smile Outerwear Happy Earrings Headgear People in nature Adaptation Electric blue Jewellery Travel Smile Plant Window Sleeve Happy Building Electric blue Ringlet Laugh Portrait photography,"Today we’re thrilled to share a project months in the making. Angela Tucker (@tuckergurl) and her production company @tuckergurlinc partnered with REI Co-op Studios to create a three-part short film series to help expand the historically narrow definition of the outdoors. Each film explores connections to nature through heartfelt stories. Watch the full series now (link in bio).

Special thanks to the amazing crew: 
Co-Writer - Isha Chari @ishagary 
Producer - @blum.jeremy
Producer - Duane Prefume
Director of Photography - @bronmoyi
Original Score by @sultana.isham and Tex Miller
Editor - Jane Geisler 
Production Designer - @aperture_dos 
Art Director - @em_kingston 
Costume Designer - @cmhstyle
Photos - @hey_mari",2495,20,0.99127907,0.002906977,0.002906977,0.002906977,0.00127551,0.753826531,0.00127551,0.243622449
22,https://www.instagram.com/p/CPa8AFytqEe/,Shorts Sky Plant Cloud Smile Sunglasses Tree Sleeve Eyewear Street light,"Today we're highlighting our partners at Minority Veterans of America (MVA) @minorityvets. This nonpartisan, nonprofit organization works to empower underrepresented veterans, including women, people of color, LGBTQ+ and religious minorities. Whether you’re a veteran or an ally, you can connect with them and help build community. Give MVA a follow @minorityvets and learn more through our link in bio.",6075,145,0.622807018,0.271929825,0.00877193,0.096491228,0.442307692,0.552197802,0.002747253,0.002747253
23,https://www.instagram.com/p/CPqR4hcB6F5/,Food Table Tableware Plant Green Outdoor table Tablecloth Outdoor furniture Chair Grass,"We teamed up with @westelm again to co-create some new modern and versatile outdoor go-tos for making yourself at home outside. Shop the collection (link in bio). #REIxWestElm

Photo: #REIpartner @callmeflowerchild",18857,180,0.411290323,0.008064516,0.008064516,0.572580645,0.004672897,0.004672897,0.378504673,0.612149533
24,https://www.instagram.com/p/CPs-E_PhaBU/,Sky Neck Flash photography Sleeve Waist People in nature Chest Trunk Happy Elbow,"We absolutely love the REI Co-op Take Your Time collection—it’s super soft, stretchy, versatile and made to move with you, wherever you are. Available in XS-3X (link in bio).",5016,60,0.653225806,0.330645161,0.008064516,0.008064516,0.151960784,0.004901961,0.004901961,0.838235294
25,https://www.instagram.com/p/CQ1KsPVsR1v/,Sky Vehicle Plant Car Cloud Motor vehicle Automotive tail & brake light Hat Bumper Tree,"We want to see your camp kitchen setups! Tag your pic with #REIchallenge and we’ll share some of our favorites next week. 🍳 #recreateresponsibly 

Photo: @emmalimburg of @rootedwithinwellness 
Buildout and design by: @toad_hill, @emmalimburg and @gone_skiing_319",11123,96,0.006944444,0.006944444,0.006944444,0.979166667,0.985981308,0.004672897,0.004672897,0.004672897
26,https://www.instagram.com/p/CQ3vaIKMK5p/,Water Plant Mountain Water resources Cloud Sky People in nature Natural landscape Tree Lake,"Where will your outdoor adventures take you this weekend?

Photo: @fecha_2",10835,154,0.007462687,0.97761194,0.007462687,0.007462687,0.015625,0.015625,0.953125,0.015625
27,https://www.instagram.com/p/CQBj4ZPB2Wo/,Plant Table Tree Hat Smile Grass Outdoor furniture Fedora Sunglasses Leisure Plant Sky Tree Shade Outdoor furniture Leisure Grass Summer Grassland Recreation Table Plant Tableware Furniture Flower Dishware Outdoor table Textile Outdoor furniture Chair,"We're celebrating picnic season with the new REI Co-op + @westelm collection. What is your favorite way to enjoy the fresh air in your backyard and beyond? #REIxWestElm

Photos: #REIpartner @arielleestoria",5063,54,0.235465116,0.119186047,0.002906977,0.64244186,0.053921569,0.004901961,0.25,0.691176471
28,https://www.instagram.com/p/CQG1sGlhgzp/,Plant Natural environment People in nature Beard Wood Tree Adaptation Landscape Happy Electric blue,"“Climbing, biking, hiking or camping all bring me so much joy and the opportunity to connect and meet some of the most amazing people in the world. My photography is more of a way to capture the good and bad times spent in the outdoors.” 

–@cliford.mervil, #REIpartner and co-op member since 2019. Explore other stories at the link in our bio.",2189,10,0.305970149,0.679104478,0.007462687,0.007462687,0.002994012,0.571856287,0.152694611,0.27245509
29,https://www.instagram.com/p/CQJLe5drLAM/,Triangle Font Line Creative arts Slope Pattern Poster Rectangle Circle Graphics,"“Freedom for me has always been found in the outdoors, unencumbered by human prejudice,” said @OutdoorAfro Founder and CEO @ruemapp. “The direct connection to the earth has always enabled me to connect with my story and the stories of my ancestors. This year, more than ever, the concept of freedom is complex and nuanced. I invite everyone to spend time considering the word, its origins, and how it is applied in this country.”

We’re spending Juneteenth with our partners @outdoorafro to reflect on what it means to be free in America. Join us for 2.5 hours outside to commemorate Juneteenth and the 2.5 years enslaved people in Texas were kept from their freedom. Learn more about the event and register at our link in bio. #REIpartner",2310,48,0.798245614,0.184210526,0.00877193,0.00877193,0.167168675,0.769578313,0.061746988,0.001506024
30,https://www.instagram.com/p/CQRHkCEsgdP/,Water Mountain Sky Plant Shorts Bedrock Slope Terrain Rock-climbing equipment Landscape,"Climb on! What's your best piece of climbing advice? 🧗‍♀️

Photo: @kristy_thi_nguyen by @saramich3lle",8232,151,0.008064516,0.411290323,0.008064516,0.572580645,0.130952381,0.726190476,0.130952381,0.011904762
31,https://www.instagram.com/p/CQY1vFgBMNx/,Leg People in nature Human Gesture Happy Grass Landscape Summer Thigh Recreation,We're back with nine new REI Co-op Editors' Choice Awards including the best hiking sandals of all-time ☝️. Click the link in our bio to check out the rest.,4321,56,0.622807018,0.359649123,0.00877193,0.00877193,0.005154639,0.005154639,0.572164948,0.417525773
32,https://www.instagram.com/p/CQZd0f4hIdf/,Sky Mountain Dress Gesture People in nature Travel Grassland Mountainous landforms Bedrock Landscape Sky Ecoregion People in nature Leg Mountain People on beach Human Happy Mammal Gesture Sky Plant community Mountain Plant People in nature Outdoor recreation Mountainous landforms Grass Tree Adaptation,"If you’re interested in exploring what yoga has to offer, but are unsure where to begin, we can help. Millions of people around the world practice some form of yoga for a range of benefits, including spiritual, mental, emotional, psychological and physical.

Before getting started, it’s worth taking some time to learn about the cultural and historical roots of yoga (link in bio). #InternationalYogaDay",6586,73,0.158854167,0.8359375,0.002604167,0.002604167,0.002824859,0.200564972,0.511299435,0.285310734
33,https://www.instagram.com/p/CQ_lrCRhakA/,Food Tableware Table Sharing Plate Recipe Cuisine Yellow Food craving Dish Food Tableware Recipe Ingredient Cuisine Dishware Cup Dish Cooking Mixing bowl Table Tableware Bottle Flowerpot Plant Houseplant Goggles Community Adaptation Sunglasses Gesture Plant Terrestrial plant Grass Insect Rectangle Windshield Font Arthropod Herb,"This is how the Toguchi family does camp dinner—and it’s awesome! Check out some of their go-to camp recipes like tonkotsu ramen, grilled shishito peppers and more (link in bio). What are some of your favorite camp recipes? 🍽",5232,98,0.877880184,0.002304147,0.117511521,0.002304147,0.004901961,0.004901961,0.985294118,0.004901961
34,https://www.instagram.com/p/CQbdZONhJ9T/,Sky Plant People in nature Nature Leaf Cloud Smile Organism Happy Grass,"“I am a first-generation Mexican American, born and raised in Los Angeles, a garden educator and consultant, and an advocate for low-waste living. I love being outside and going camping. In the last five or six years, I have worked in the gardening and sustainability space in different forms. While advocating for low-waste living and gardening, online and through workshops, I hope to inspire others to do the same with compassion for Mother Earth!” 

–@cerowastecindy, #REIpartner and co-op member since 2014",2962,45,0.184210526,0.798245614,0.00877193,0.00877193,0.002024291,0.649797571,0.002024291,0.346153846
35,https://www.instagram.com/p/CQd_evCp5da/,Product Organism Gesture Happy Font People in nature Sharing Event Conversation Illustration,"Let’s work together to help create jobs, parks and equitable access to nature. Take #CooperativeAction! Urge Congress to pass the Parks, Jobs and Equity Act. Learn more at the link in bio.",7425,204,0.973684211,0.00877193,0.00877193,0.00877193,0.986607143,0.004464286,0.004464286,0.004464286
36,https://www.instagram.com/p/CQjKWgZhh9J/,Food Kitchen appliance Recipe Cuisine Ingredient Cookware and bakeware Cooking Dish Gas stove Gas,"Every grill’s favorite holiday is coming up. What will you be cooking outside? #OptOutside

Head to the link in our bio to shop camp kitchen essentials.",3334,21,0.604477612,0.007462687,0.007462687,0.380597015,0.006493506,0.006493506,0.980519481,0.006493506
37,https://www.instagram.com/p/CQpQiOPgv7m/,Cloud Water Sky Plant Water resources Mountain People in nature Natural landscape Tree Lake,"Views for days! What spots are on your summer bucket list? 📝

Photo: @julioosouffle",18722,246,0.007462687,0.97761194,0.007462687,0.007462687,0.130952381,0.011904762,0.845238095,0.011904762
38,https://www.instagram.com/p/CQuNgcghKSg/,Water Boat Watercraft Vehicle Boats and boating--Equipment and supplies Sports equipment Lake Outdoor recreation Oar Lifejacket Sky Cloud Mountain People in nature Light Flash photography Happy Travel Landscape Horizon Dog Carnivore Collar Dog breed Sky Fawn Companion dog Dog collar Snout Pet supply Water Smile Sky Cloud Tree Happy Travel Shorts Lake Coastal and oceanic landforms,"For last week's #REIchallenge we asked you to share some of your favorite ways to #OptOutside. Here are a few of our favorites!

Photos: @nealyoutdoors, @perdidainaz, @rawryabad, @adventur_ed_outdoors",6364,27,0.001872659,0.507490637,0.488764045,0.001872659,0.979166667,0.006944444,0.006944444,0.006944444
39,https://www.instagram.com/p/CQv6O-INxmn/,Sky Ecoregion Sleeve Cloud Travel Mountainous landforms People in nature Recreation Landscape Mountain,"“The best gear for being outdoors is a smile. Though I must admit my fancy schmancy REI traveler’s pillow is a close second, the most useful thing I bring with me on any outdoor expedition is a positive mental attitude (PMA). Just about any photo of me outdoors sports a big honking grin, because I love it.” Read more of DuBroy’s story at the link in our bio.
 
–DuBroy, co-op member since 2019",4575,87,0.088709677,0.89516129,0.008064516,0.008064516,0.002415459,0.630434783,0.050724638,0.316425121
40,https://www.instagram.com/p/CR2Xr3Zhede/,Dog Dog breed Carnivore Companion dog Plant Grass Happy Leisure Snout Pet supply Sky Water Cloud Plant Tree Wood Travel People in nature Jacket Lake Cloud Sky Plant Ecoregion Mountain Afterglow Natural landscape Tree Larch Highland,"For last week's #REIchallenge, we asked you to share your hammock hangouts. Here are a few of our favorites!

Photos: @tlcbales, @pnw.intothewild, @thelillion",8629,51,0.002824859,0.56779661,0.398305085,0.031073446,0.753731343,0.007462687,0.007462687,0.231343284
41,https://www.instagram.com/p/CR7jAnUtm92/,Water Water resources Plant Fluvial landforms of streams Nature Bedrock Natural landscape Shorts Waterfall Watercourse,"Who is your outdoor adventure buddy? Tag them below ⬇️

Photo: @fryeberunnin",6795,258,0.006944444,0.979166667,0.006944444,0.006944444,0.484375,0.015625,0.484375,0.015625
42,https://www.instagram.com/p/CR9Q6PYtxIA/,Flower Plant Sky Ecoregion People in nature Nature Natural landscape Mountain Tree Slope,"Where is the trail taking you this weekend? 🥾

Photo: @k_smith_x",13067,121,0.008064516,0.975806452,0.008064516,0.008064516,0.018518519,0.203703704,0.759259259,0.018518519
43,https://www.instagram.com/p/CRCCfDLhz9a/,Water Smile Sky Boat Paddle Boats and boating--Equipment and supplies Sports equipment Watercraft Vehicle Lake,"#REImember Kimberly Wheatley didn't grow up paddling. But that didn't stop her from falling in love with kayaking after buying her boat—a folding kayak she lovingly calls ""Bae""—in 2018.

""Something in me changed during that paddle,"" she writes of her first big paddling trip. ""Sitting in my kayak on a lake surrounded by jagged mountain peaks, gazing out at the tall pines as the sun shone down and bald eagles soared overhead, I knew I’d never be the same again. I wasn’t just happy—I was brimming with joy."" Read the full story at the link in our bio.

Photo: @paddlingwithbae",6956,89,0.006944444,0.006944444,0.979166667,0.006944444,0.001872659,0.376404494,0.488764045,0.132958801
44,https://www.instagram.com/p/CREnWBEhNlb/,Automotive tail & brake light Plant Motor vehicle Automotive lighting Vehicle Tree Car Automotive design Automotive tire Automotive exterior Food Plant Kitchen appliance Tree Cookware and bakeware Cooking Leisure Motor vehicle Gas Shorts Food Cookware and bakeware Recipe Cuisine Automotive tire Cooking Dish Kitchen appliance Gas Ingredient Furniture Plant Table Vehicle Chair Shade Motor vehicle Tent Automotive exterior Van,"For last week’s #REIchallenge, we asked you to share your camp kitchen setups. Great to see everyone out creating tasty meals in the outdoors. #OptOutside

Photos: @emmalimburg of @rootedwithinwellness by @_cvrrent (buildout by @toad_hill, @gone_skiing_319 @emmalimburg), @lorinhamm, @kwhelanphoto, @karakyro",13113,71,0.232269504,0.00177305,0.00177305,0.764184397,0.989051095,0.003649635,0.003649635,0.003649635
45,https://www.instagram.com/p/CRHMLZDM4Ew/,Food Tableware Dishware Kitchen utensil Ingredient Plate Recipe Serveware Cuisine Table,Introducing @oxo Outdoor—a curated collection of must-have cooking and cleaning tools that deserve a spot in every camp kit. Only at the co-op. Shop the collection (link in bio). 🍳,5815,15,0.973684211,0.00877193,0.00877193,0.00877193,0.004901961,0.004901961,0.642156863,0.348039216
46,https://www.instagram.com/p/CRNT72WhQ4G/,Sky Plant Mountain Shorts Green People in nature Nature Leaf Natural landscape Tree,"Favorite outdoor activity as an emoji—go! 🥾

Photo: @ellemurata",24236,777,0.008064516,0.975806452,0.008064516,0.008064516,0.013513514,0.013513514,0.959459459,0.013513514
47,https://www.instagram.com/p/CRO7MyShT0r/,Footwear Shoe Plant Outdoor shoe Walking shoe Grass Sneakers Terrestrial plant Font Athletic shoe,"Inspired by you, tested by you, made by us. Trail tested, member approved. We’re excited to introduce REI Co-op footwear—tough boots with a lighter footprint. Follow the link in our bio to shop the full collection.",7703,150,0.909722222,0.076388889,0.006944444,0.006944444,0.004098361,0.004098361,0.209016393,0.782786885
48,https://www.instagram.com/p/CRUEMEXhgzf/,Plant Wheel Cloud Sky Tire Bicycle tire Automotive tire Tree Bicycle wheel Grass,"After a fall on New Year's Eve in 2018 left her paralyzed, thru hiker and #REImember Molly Schneider (@mollyaschneider21) began questioning her relationship with the outdoors: ""Will I ever thru-hike again? Will I ever stand taller than the trees again?"" But she says her trek taught her one very important lesson—if the trail changes, you adapt.

Read her full story at the link in our bio.",6220,56,0.007462687,0.007462687,0.455223881,0.529850746,0.002604167,0.575520833,0.002604167,0.419270833
49,https://www.instagram.com/p/CRfWQ1uBSfD/,Cloud Sky Mountain Plant People in nature Slope Outdoor recreation Tree Terrain Mountainous landforms,"Trail running or road running? 🏃‍♂️

Photo: @brianericksonco",9217,104,0.007462687,0.97761194,0.007462687,0.007462687,0.015625,0.953125,0.015625,0.015625
50,https://www.instagram.com/p/CRg_ieOhTkA/,Tire Sky Wheel Cloud Plant community Plant Vehicle Bicycles--Equipment and supplies Mountain Bicycle wheel,"In 2019, #REIpartner Mikah Meyer (@mikahmey) set a world record when he visited all 419 U.S. national park sites in one, three-year road trip. Since then, he's used his platform to promote LGBTQIA+ inclusivity in the outdoors with @outsidesafespace. Listen to his story on the Wild Ideas Worth Living podcast at the link in our bio.",13264,240,0.006944444,0.354166667,0.631944444,0.006944444,0.14010989,0.607142857,0.085164835,0.167582418
51,https://www.instagram.com/p/CRl-44Wttfg/,Ecoregion People in nature Natural landscape Sleeve Happy Gesture Grass Plant Grassland Font,"Speak out with #CooperativeAction—urge Congress to prioritize outdoor jobs to help create sustainable jobs, spur economic growth and drive national climate strategy. Learn more and take action at the link in bio.",4697,69,0.25,0.733870968,0.008064516,0.008064516,0.816239316,0.004273504,0.004273504,0.175213675
52,https://www.instagram.com/p/CRpFppKBgpB/,Water Plant Sky Wood Tree Landscape Grass Slope Sports equipment Shrub Water Sky Wood Body of water Coastal and oceanic landforms Travel Landscape Wind wave Lake Formation Dog Furniture Vertebrate Comfort Wood Outdoor furniture Carnivore Tree Mammal Hammock,"How are you celebrating #NationalHammockDay? Share your favorite hammock hangout situation and tag #REIchallenge for a chance to be featured. 

Click the link in our bio to check out some of our favorite hammocks.

Photos: @galaxycrasher",11575,117,0.03021978,0.552197802,0.112637363,0.304945055,0.726804124,0.005154639,0.262886598,0.005154639
53,https://www.instagram.com/p/CRrkNNShcVq/,Hammock People in nature Leaf Shade Grass Woody plant Leisure Tree Wood Recreation Outerwear Plant Tree Hat People in nature Sleeve Tartan Jersey Headgear Waist Footwear Glasses Shoe Smile Outerwear Vision care Cap Eyewear Sleeve Standing,"We’re so excited to share these great products—all created collaboratively with our partners @outdoorafro. Available online and in selected stores now (link in bio). 

--

@outdoorafro x @enohammocks: Designed by artist and Outdoor Afro leader Leandra Taylor (@seasonal.lee), this hammock was inspired by Outdoor Afro’s Mt. Kilimanjaro Expedition in Tanzania, Africa.

@outdoorafro x @parksproject: Designed by Oakland-based artist Joonbug (@thebugs87) and inspired by the joy found in the outdoors.

@outdoorafro x @smartwool: Designed by artist and Outdoor Afro leader Leandra Taylor (@seasonal.lee), this performance hike sock features responsibly sourced merino wool and Smartwool’s signature 4 DegreeTM elite fit system.",7717,89,0.438953488,0.235465116,0.002906977,0.322674419,0.00132626,0.465517241,0.00132626,0.531830239
54,https://www.instagram.com/p/CRzyYzoBOt3/,Cloud Sky Plant People in nature Natural landscape Highland Sunlight Grass Grassland Landscape Plant Plant community Flower People in nature Natural landscape Sky Tree Grass Leisure Groundcover Sky Cloud Plant Ecoregion Mountain Nature People in nature Tree Happy Hat,"Backpacking or camping with kiddos? What’s your best piece of advice?

#REIpartner @brooke.froelich shares how she plans and enjoys trips in the backcountry with her little ones. Check them out now on her IG Story Highlights. 🏕️

Photos: @heatherrochfort and @brooke.froelich",27386,305,0.03021978,0.936813187,0.002747253,0.03021978,0.086065574,0.577868852,0.331967213,0.004098361
55,https://www.instagram.com/p/CS24LfMo2fJ/,Sky Mountain Slope Highland Terrain Plant Mountainous landforms Landscape Geological phenomenon Mountain range,"Sunrise views or sunset reflections? 🌄

Photo: @weeden_wanders",10074,61,0.007462687,0.97761194,0.007462687,0.007462687,0.015625,0.484375,0.484375,0.015625
